Columns_Removed,Reason
Wafer,Irrelevant column
Sensor6,Constant variance
Sensor14,Constant variance
Sensor43,Constant variance
Sensor50,Constant variance
Sensor53,Constant variance
Sensor70,Constant variance
Sensor75,Constant variance
Sensor98,Constant variance
Sensor115,Constant variance
Sensor142,Constant variance
Sensor150,Constant variance
Sensor179,Constant variance
Sensor180,Constant variance
Sensor187,Constant variance
Sensor190,Constant variance
Sensor191,Constant variance
Sensor192,Constant variance
Sensor193,Constant variance
Sensor194,Constant variance
Sensor195,Constant variance
Sensor207,Constant variance
Sensor210,Constant variance
Sensor227,Constant variance
Sensor230,Constant variance
Sensor231,Constant variance
Sensor232,Constant variance
Sensor233,Constant variance
Sensor234,Constant variance
Sensor235,Constant variance
Sensor236,Constant variance
Sensor237,Constant variance
Sensor238,Constant variance
Sensor241,Constant variance
Sensor242,Constant variance
Sensor243,Constant variance
Sensor244,Constant variance
Sensor250,Constant variance
Sensor257,Constant variance
Sensor258,Constant variance
Sensor259,Constant variance
Sensor260,Constant variance
Sensor261,Constant variance
Sensor262,Constant variance
Sensor263,Constant variance
Sensor264,Constant variance
Sensor265,Constant variance
Sensor266,Constant variance
Sensor267,Constant variance
Sensor277,Constant variance
Sensor285,Constant variance
Sensor314,Constant variance
Sensor315,Constant variance
Sensor316,Constant variance
Sensor323,Constant variance
Sensor326,Constant variance
Sensor327,Constant variance
Sensor328,Constant variance
Sensor329,Constant variance
Sensor330,Constant variance
Sensor331,Constant variance
Sensor343,Constant variance
Sensor348,Constant variance
Sensor365,Constant variance
Sensor370,Constant variance
Sensor371,Constant variance
Sensor372,Constant variance
Sensor373,Constant variance
Sensor374,Constant variance
Sensor375,Constant variance
Sensor376,Constant variance
Sensor379,Constant variance
Sensor380,Constant variance
Sensor381,Constant variance
Sensor382,Constant variance
Sensor388,Constant variance
Sensor395,Constant variance
Sensor396,Constant variance
Sensor397,Constant variance
Sensor398,Constant variance
Sensor399,Constant variance
Sensor400,Constant variance
Sensor401,Constant variance
Sensor402,Constant variance
Sensor403,Constant variance
Sensor404,Constant variance
Sensor405,Constant variance
Sensor415,Constant variance
Sensor423,Constant variance
Sensor450,Constant variance
Sensor451,Constant variance
Sensor452,Constant variance
Sensor459,Constant variance
Sensor462,Constant variance
Sensor463,Constant variance
Sensor464,Constant variance
Sensor465,Constant variance
Sensor466,Constant variance
Sensor467,Constant variance
Sensor479,Constant variance
Sensor482,Constant variance
Sensor499,Constant variance
Sensor502,Constant variance
Sensor503,Constant variance
Sensor504,Constant variance
Sensor505,Constant variance
Sensor506,Constant variance
Sensor507,Constant variance
Sensor508,Constant variance
Sensor509,Constant variance
Sensor510,Constant variance
Sensor513,Constant variance
Sensor514,Constant variance
Sensor515,Constant variance
Sensor516,Constant variance
Sensor522,Constant variance
Sensor529,Constant variance
Sensor530,Constant variance
Sensor531,Constant variance
Sensor532,Constant variance
Sensor533,Constant variance
Sensor534,Constant variance
Sensor535,Constant variance
Sensor536,Constant variance
Sensor537,Constant variance
Sensor538,Constant variance
Sensor539,Constant variance
Sensor1_na,Constant variance
Sensor2_na,Constant variance
Sensor3_na,Constant variance
Sensor4_na,Constant variance
Sensor5_na,Constant variance
Sensor6_na,Constant variance
Sensor7_na,Constant variance
Sensor8_na,Constant variance
Sensor9_na,Constant variance
Sensor10_na,Constant variance
Sensor11_na,Constant variance
Sensor12_na,Constant variance
Sensor13_na,Constant variance
Sensor14_na,Constant variance
Sensor15_na,Constant variance
Sensor16_na,Constant variance
Sensor17_na,Constant variance
Sensor18_na,Constant variance
Sensor19_na,Constant variance
Sensor22_na,Constant variance
Sensor23_na,Constant variance
Sensor24_na,Constant variance
Sensor25_na,Constant variance
Sensor26_na,Constant variance
Sensor27_na,Constant variance
Sensor28_na,Constant variance
Sensor29_na,Constant variance
Sensor30_na,Constant variance
Sensor31_na,Constant variance
Sensor32_na,Constant variance
Sensor41_na,Constant variance
Sensor42_na,Constant variance
Sensor54_na,Constant variance
Sensor55_na,Constant variance
Sensor56_na,Constant variance
Sensor57_na,Constant variance
Sensor58_na,Constant variance
Sensor59_na,Constant variance
Sensor60_na,Constant variance
Sensor61_na,Constant variance
Sensor62_na,Constant variance
Sensor63_na,Constant variance
Sensor64_na,Constant variance
Sensor65_na,Constant variance
Sensor66_na,Constant variance
Sensor67_na,Constant variance
Sensor68_na,Constant variance
Sensor69_na,Constant variance
Sensor70_na,Constant variance
Sensor71_na,Constant variance
Sensor72_na,Constant variance
Sensor75_na,Constant variance
Sensor84_na,Constant variance
Sensor85_na,Constant variance
Sensor92_na,Constant variance
Sensor93_na,Constant variance
Sensor94_na,Constant variance
Sensor95_na,Constant variance
Sensor96_na,Constant variance
Sensor97_na,Constant variance
Sensor98_na,Constant variance
Sensor99_na,Constant variance
Sensor100_na,Constant variance
Sensor101_na,Constant variance
Sensor102_na,Constant variance
Sensor103_na,Constant variance
Sensor104_na,Constant variance
Sensor105_na,Constant variance
Sensor106_na,Constant variance
Sensor107_na,Constant variance
Sensor108_na,Constant variance
Sensor109_na,Constant variance
Sensor122_na,Constant variance
Sensor123_na,Constant variance
Sensor124_na,Constant variance
Sensor125_na,Constant variance
Sensor126_na,Constant variance
Sensor127_na,Constant variance
Sensor128_na,Constant variance
Sensor129_na,Constant variance
Sensor130_na,Constant variance
Sensor131_na,Constant variance
Sensor132_na,Constant variance
Sensor133_na,Constant variance
Sensor134_na,Constant variance
Sensor135_na,Constant variance
Sensor137_na,Constant variance
Sensor138_na,Constant variance
Sensor139_na,Constant variance
Sensor140_na,Constant variance
Sensor141_na,Constant variance
Sensor142_na,Constant variance
Sensor143_na,Constant variance
Sensor144_na,Constant variance
Sensor145_na,Constant variance
Sensor146_na,Constant variance
Sensor147_na,Constant variance
Sensor148_na,Constant variance
Sensor149_na,Constant variance
Sensor150_na,Constant variance
Sensor151_na,Constant variance
Sensor152_na,Constant variance
Sensor153_na,Constant variance
Sensor154_na,Constant variance
Sensor155_na,Constant variance
Sensor160_na,Constant variance
Sensor161_na,Constant variance
Sensor162_na,Constant variance
Sensor163_na,Constant variance
Sensor164_na,Constant variance
Sensor165_na,Constant variance
Sensor166_na,Constant variance
Sensor167_na,Constant variance
Sensor168_na,Constant variance
Sensor169_na,Constant variance
Sensor170_na,Constant variance
Sensor179_na,Constant variance
Sensor191_na,Constant variance
Sensor192_na,Constant variance
Sensor193_na,Constant variance
Sensor194_na,Constant variance
Sensor195_na,Constant variance
Sensor196_na,Constant variance
Sensor197_na,Constant variance
Sensor198_na,Constant variance
Sensor199_na,Constant variance
Sensor200_na,Constant variance
Sensor201_na,Constant variance
Sensor202_na,Constant variance
Sensor203_na,Constant variance
Sensor204_na,Constant variance
Sensor205_na,Constant variance
Sensor206_na,Constant variance
Sensor207_na,Constant variance
Sensor208_na,Constant variance
Sensor209_na,Constant variance
Sensor210_na,Constant variance
Sensor219_na,Constant variance
Sensor220_na,Constant variance
Sensor227_na,Constant variance
Sensor228_na,Constant variance
Sensor229_na,Constant variance
Sensor230_na,Constant variance
Sensor231_na,Constant variance
Sensor232_na,Constant variance
Sensor233_na,Constant variance
Sensor234_na,Constant variance
Sensor235_na,Constant variance
Sensor236_na,Constant variance
Sensor237_na,Constant variance
Sensor238_na,Constant variance
Sensor239_na,Constant variance
Sensor240_na,Constant variance
Sensor241_na,Constant variance
Sensor242_na,Constant variance
Sensor243_na,Constant variance
Sensor244_na,Constant variance
Sensor257_na,Constant variance
Sensor258_na,Constant variance
Sensor259_na,Constant variance
Sensor260_na,Constant variance
Sensor261_na,Constant variance
Sensor262_na,Constant variance
Sensor263_na,Constant variance
Sensor264_na,Constant variance
Sensor265_na,Constant variance
Sensor266_na,Constant variance
Sensor267_na,Constant variance
Sensor268_na,Constant variance
Sensor269_na,Constant variance
Sensor270_na,Constant variance
Sensor272_na,Constant variance
Sensor273_na,Constant variance
Sensor274_na,Constant variance
Sensor275_na,Constant variance
Sensor276_na,Constant variance
Sensor277_na,Constant variance
Sensor278_na,Constant variance
Sensor279_na,Constant variance
Sensor280_na,Constant variance
Sensor281_na,Constant variance
Sensor282_na,Constant variance
Sensor283_na,Constant variance
Sensor284_na,Constant variance
Sensor285_na,Constant variance
Sensor286_na,Constant variance
Sensor287_na,Constant variance
Sensor288_na,Constant variance
Sensor289_na,Constant variance
Sensor290_na,Constant variance
Sensor295_na,Constant variance
Sensor296_na,Constant variance
Sensor297_na,Constant variance
Sensor298_na,Constant variance
Sensor299_na,Constant variance
Sensor300_na,Constant variance
Sensor301_na,Constant variance
Sensor302_na,Constant variance
Sensor303_na,Constant variance
Sensor304_na,Constant variance
Sensor305_na,Constant variance
Sensor314_na,Constant variance
Sensor315_na,Constant variance
Sensor327_na,Constant variance
Sensor328_na,Constant variance
Sensor329_na,Constant variance
Sensor330_na,Constant variance
Sensor331_na,Constant variance
Sensor332_na,Constant variance
Sensor333_na,Constant variance
Sensor334_na,Constant variance
Sensor335_na,Constant variance
Sensor336_na,Constant variance
Sensor337_na,Constant variance
Sensor338_na,Constant variance
Sensor339_na,Constant variance
Sensor340_na,Constant variance
Sensor341_na,Constant variance
Sensor342_na,Constant variance
Sensor343_na,Constant variance
Sensor344_na,Constant variance
Sensor345_na,Constant variance
Sensor348_na,Constant variance
Sensor357_na,Constant variance
Sensor358_na,Constant variance
Sensor365_na,Constant variance
Sensor366_na,Constant variance
Sensor367_na,Constant variance
Sensor368_na,Constant variance
Sensor369_na,Constant variance
Sensor370_na,Constant variance
Sensor371_na,Constant variance
Sensor372_na,Constant variance
Sensor373_na,Constant variance
Sensor374_na,Constant variance
Sensor375_na,Constant variance
Sensor376_na,Constant variance
Sensor377_na,Constant variance
Sensor378_na,Constant variance
Sensor379_na,Constant variance
Sensor380_na,Constant variance
Sensor381_na,Constant variance
Sensor382_na,Constant variance
Sensor395_na,Constant variance
Sensor396_na,Constant variance
Sensor397_na,Constant variance
Sensor398_na,Constant variance
Sensor399_na,Constant variance
Sensor400_na,Constant variance
Sensor401_na,Constant variance
Sensor402_na,Constant variance
Sensor403_na,Constant variance
Sensor404_na,Constant variance
Sensor405_na,Constant variance
Sensor406_na,Constant variance
Sensor407_na,Constant variance
Sensor408_na,Constant variance
Sensor410_na,Constant variance
Sensor411_na,Constant variance
Sensor412_na,Constant variance
Sensor413_na,Constant variance
Sensor414_na,Constant variance
Sensor415_na,Constant variance
Sensor416_na,Constant variance
Sensor417_na,Constant variance
Sensor418_na,Constant variance
Sensor419_na,Constant variance
Sensor420_na,Constant variance
Sensor421_na,Constant variance
Sensor422_na,Constant variance
Sensor423_na,Constant variance
Sensor424_na,Constant variance
Sensor425_na,Constant variance
Sensor426_na,Constant variance
Sensor427_na,Constant variance
Sensor428_na,Constant variance
Sensor431_na,Constant variance
Sensor432_na,Constant variance
Sensor433_na,Constant variance
Sensor434_na,Constant variance
Sensor435_na,Constant variance
Sensor436_na,Constant variance
Sensor437_na,Constant variance
Sensor438_na,Constant variance
Sensor439_na,Constant variance
Sensor440_na,Constant variance
Sensor441_na,Constant variance
Sensor450_na,Constant variance
Sensor451_na,Constant variance
Sensor463_na,Constant variance
Sensor464_na,Constant variance
Sensor465_na,Constant variance
Sensor466_na,Constant variance
Sensor467_na,Constant variance
Sensor468_na,Constant variance
Sensor469_na,Constant variance
Sensor470_na,Constant variance
Sensor471_na,Constant variance
Sensor472_na,Constant variance
Sensor473_na,Constant variance
Sensor474_na,Constant variance
Sensor475_na,Constant variance
Sensor476_na,Constant variance
Sensor477_na,Constant variance
Sensor478_na,Constant variance
Sensor479_na,Constant variance
Sensor480_na,Constant variance
Sensor481_na,Constant variance
Sensor482_na,Constant variance
Sensor491_na,Constant variance
Sensor492_na,Constant variance
Sensor499_na,Constant variance
Sensor500_na,Constant variance
Sensor501_na,Constant variance
Sensor502_na,Constant variance
Sensor503_na,Constant variance
Sensor504_na,Constant variance
Sensor505_na,Constant variance
Sensor506_na,Constant variance
Sensor507_na,Constant variance
Sensor508_na,Constant variance
Sensor509_na,Constant variance
Sensor510_na,Constant variance
Sensor511_na,Constant variance
Sensor512_na,Constant variance
Sensor513_na,Constant variance
Sensor514_na,Constant variance
Sensor515_na,Constant variance
Sensor516_na,Constant variance
Sensor529_na,Constant variance
Sensor530_na,Constant variance
Sensor531_na,Constant variance
Sensor532_na,Constant variance
Sensor533_na,Constant variance
Sensor534_na,Constant variance
Sensor535_na,Constant variance
Sensor536_na,Constant variance
Sensor537_na,Constant variance
Sensor538_na,Constant variance
Sensor539_na,Constant variance
Sensor540_na,Constant variance
Sensor541_na,Constant variance
Sensor542_na,Constant variance
Sensor543_na,Constant variance
Sensor544_na,Constant variance
Sensor545_na,Constant variance
Sensor546_na,Constant variance
Sensor563_na,Constant variance
Sensor564_na,Constant variance
Sensor565_na,Constant variance
Sensor566_na,Constant variance
Sensor567_na,Constant variance
Sensor568_na,Constant variance
Sensor569_na,Constant variance
Sensor570_na,Constant variance
Sensor14_zero,Constant variance
Sensor53_zero,Constant variance
Sensor75_zero,Constant variance
Sensor98_zero,Constant variance
Sensor113_zero,Constant variance
Sensor115_zero,Constant variance
Sensor142_zero,Constant variance
Sensor150_zero,Constant variance
Sensor179_zero,Constant variance
Sensor180_zero,Constant variance
Sensor187_zero,Constant variance
Sensor190_zero,Constant variance
Sensor191_zero,Constant variance
Sensor192_zero,Constant variance
Sensor193_zero,Constant variance
Sensor194_zero,Constant variance
Sensor195_zero,Constant variance
Sensor207_zero,Constant variance
Sensor210_zero,Constant variance
Sensor227_zero,Constant variance
Sensor230_zero,Constant variance
Sensor231_zero,Constant variance
Sensor232_zero,Constant variance
Sensor233_zero,Constant variance
Sensor234_zero,Constant variance
Sensor235_zero,Constant variance
Sensor236_zero,Constant variance
Sensor237_zero,Constant variance
Sensor238_zero,Constant variance
Sensor241_zero,Constant variance
Sensor242_zero,Constant variance
Sensor243_zero,Constant variance
Sensor244_zero,Constant variance
Sensor248_zero,Constant variance
Sensor250_zero,Constant variance
Sensor257_zero,Constant variance
Sensor258_zero,Constant variance
Sensor259_zero,Constant variance
Sensor260_zero,Constant variance
Sensor261_zero,Constant variance
Sensor262_zero,Constant variance
Sensor263_zero,Constant variance
Sensor264_zero,Constant variance
Sensor265_zero,Constant variance
Sensor266_zero,Constant variance
Sensor267_zero,Constant variance
Sensor277_zero,Constant variance
Sensor285_zero,Constant variance
Sensor314_zero,Constant variance
Sensor315_zero,Constant variance
Sensor316_zero,Constant variance
Sensor323_zero,Constant variance
Sensor326_zero,Constant variance
Sensor327_zero,Constant variance
Sensor328_zero,Constant variance
Sensor329_zero,Constant variance
Sensor330_zero,Constant variance
Sensor331_zero,Constant variance
Sensor343_zero,Constant variance
Sensor348_zero,Constant variance
Sensor365_zero,Constant variance
Sensor370_zero,Constant variance
Sensor371_zero,Constant variance
Sensor372_zero,Constant variance
Sensor373_zero,Constant variance
Sensor374_zero,Constant variance
Sensor375_zero,Constant variance
Sensor376_zero,Constant variance
Sensor379_zero,Constant variance
Sensor380_zero,Constant variance
Sensor381_zero,Constant variance
Sensor382_zero,Constant variance
Sensor386_zero,Constant variance
Sensor388_zero,Constant variance
Sensor395_zero,Constant variance
Sensor396_zero,Constant variance
Sensor397_zero,Constant variance
Sensor398_zero,Constant variance
Sensor399_zero,Constant variance
Sensor400_zero,Constant variance
Sensor401_zero,Constant variance
Sensor402_zero,Constant variance
Sensor403_zero,Constant variance
Sensor404_zero,Constant variance
Sensor405_zero,Constant variance
Sensor415_zero,Constant variance
Sensor423_zero,Constant variance
Sensor450_zero,Constant variance
Sensor451_zero,Constant variance
Sensor452_zero,Constant variance
Sensor459_zero,Constant variance
Sensor462_zero,Constant variance
Sensor463_zero,Constant variance
Sensor464_zero,Constant variance
Sensor465_zero,Constant variance
Sensor466_zero,Constant variance
Sensor467_zero,Constant variance
Sensor479_zero,Constant variance
Sensor482_zero,Constant variance
Sensor499_zero,Constant variance
Sensor502_zero,Constant variance
Sensor503_zero,Constant variance
Sensor504_zero,Constant variance
Sensor505_zero,Constant variance
Sensor506_zero,Constant variance
Sensor507_zero,Constant variance
Sensor508_zero,Constant variance
Sensor509_zero,Constant variance
Sensor510_zero,Constant variance
Sensor513_zero,Constant variance
Sensor514_zero,Constant variance
Sensor515_zero,Constant variance
Sensor516_zero,Constant variance
Sensor520_zero,Constant variance
Sensor522_zero,Constant variance
Sensor529_zero,Constant variance
Sensor530_zero,Constant variance
Sensor531_zero,Constant variance
Sensor532_zero,Constant variance
Sensor533_zero,Constant variance
Sensor534_zero,Constant variance
Sensor535_zero,Constant variance
Sensor536_zero,Constant variance
Sensor537_zero,Constant variance
Sensor538_zero,Constant variance
Sensor539_zero,Constant variance
