number,value,datetime_start,datetime_complete,duration,params_balancing,params_drop_correlated,params_feature_selection,params_leaf_size,params_n_jobs,params_n_neighbors,params_number_features,params_outlier,params_p,params_scaling,params_weights,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_damping,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_missing_indicator,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_average_precision_score,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_average_precision_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.0,2022-10-09 14:08:07.286587,2022-10-09 14:08:19.260882,0 days 00:00:11.974295,no,no,ANOVA,45,2,3,22.0,capped,3,Robust,distance,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='ANOVA',
                                             model=KNeighborsClassifier(leaf_size=45,
                                                                        n_jobs=2,
                                                                        n_neighbors=3,
                                                                        p=3,
                                                                        weights='distance'),
                                             number=22,
                                             scaling_indicator='yes'))])",no,no,,no,ANOVA,no,22.0,capped,Robust,1.0,1.0,1.0,1.0,1.0,1.0,0.04334828101644245,0.4922008687639858,0.0,-0.02074004315095318,0.0,0.0,COMPLETE
1,0.1396631823461092,2022-10-09 14:08:19.517720,2022-10-09 14:08:25.960162,0 days 00:00:06.442442,smotetomek,yes,FeatureImportance_ET,15,2,9,21.0,capped,1,Combine,distance,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='FeatureImportance_ET',
                                             model=KNeighborsClassifier(leaf_size=15,
                                                                        n_jobs=2,
                                                                        n_neighbors=9,
                                                                        p=1,
                                                                        weights='distance'),
                                             number=21,
                                             scaling_indicator='yes'))])",smotetomek,no,,yes,FeatureImportance_ET,no,21.0,capped,Combine,0.9833333333333334,0.9996096799375488,0.9914529914529915,0.9911791515564418,0.9833333333333334,1.0,0.058019764158777604,0.5753313929962607,0.1396631823461092,0.09338816200694804,0.09416666666666666,0.2740740740740741,COMPLETE
2,0.0,2022-10-09 14:08:26.160668,2022-10-09 14:08:38.450407,0 days 00:00:12.289739,no,,FeatureWiz,15,2,5,,capped,3,Combine,uniform,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor10', 'Sensor11',
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureWiz',
                                             model=KNeighborsClassifier(leaf_size=15,
                                                                        n_jobs=2,
                                                                        p=3),
                                             scaling_indicator='yes'))])",no,no,,no,FeatureWiz,no,,capped,Combine,0.05926756352765322,0.5083333333333333,0.031746031746031744,0.07292703243602534,0.3333333333333333,0.016666666666666666,0.04334828101644245,0.4992175273865415,0.0,-0.00484744015742698,0.0,0.0,COMPLETE
3,0.044444444444444446,2022-10-09 14:08:38.678683,2022-10-09 14:08:43.452913,0 days 00:00:04.774230,no,yes,ANOVA,30,2,3,29.0,capped,3,Combine,distance,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='ANOVA',
                                             model=KNeighborsClassifier(n_jobs=2,
                                                                        n_neighbors=3,
                                                                        p=3,
                                                                        weights='distance'),
                                             number=29,
                                             scaling_indicator='yes'))])",no,no,,yes,ANOVA,no,29.0,capped,Combine,1.0,1.0,1.0,1.0,1.0,1.0,0.048520179372197304,0.5119791438140786,0.044444444444444446,0.03134318461304035,0.06666666666666667,0.03333333333333333,COMPLETE
4,0.0,2022-10-09 14:08:43.658384,2022-10-09 14:08:46.201007,0 days 00:00:02.542623,no,no,ANOVA,25,2,11,16.0,capped,1,Standard,uniform,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='ANOVA',
                                             model=KNeighborsClassifier(leaf_size=25,
                                                                        n_jobs=2,
                                                                        n_neighbors=11,
                                                                        p=1),
                                             number=16,
                                             scaling_indicator='yes'))])",no,no,,no,ANOVA,no,16.0,capped,Standard,0.05926756352765322,0.5083333333333333,0.031746031746031744,0.07292703243602534,0.3333333333333333,0.016666666666666666,0.04334828101644245,0.5,0.0,0.0,0.0,0.0,COMPLETE
5,0.08764967975494291,2022-10-09 14:08:46.390025,2022-10-09 14:08:48.916107,0 days 00:00:02.526082,smotetomek,no,ANOVA,18,2,3,20.0,capped,4,Standard,distance,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='ANOVA',
                                             model=KNeighborsClassifier(leaf_size=18,
                                                                        n_jobs=2,
                                                                        n_neighbors=3,
                                                                        p=4,
                                                                        weights='distance'),
                                             number=20,
                                             scaling_indicator='yes'))])",smotetomek,no,,no,ANOVA,no,20.0,capped,Standard,0.9833333333333334,0.9996096799375488,0.9914529914529915,0.9911791515564418,0.9833333333333334,1.0,0.048925036622262996,0.5371676929002188,0.08764967975494291,0.037791073048642466,0.060405643738977076,0.2148148148148148,COMPLETE
6,0.08063492063492063,2022-10-09 14:08:49.146662,2022-10-09 14:08:54.939353,0 days 00:00:05.792691,smotetomek,yes,ANOVA,32,2,3,14.0,capped,3,Combine,distance,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='ANOVA',
                                             model=KNeighborsClassifier(leaf_size=32,
                                                                        n_jobs=2,
                                                                        n_neighbors=3,
                                                                        p=3,
                                                                        weights='distance'),
                                             number=14,
                                             scaling_indicator='yes'))])",smotetomek,no,,yes,ANOVA,no,14.0,capped,Combine,1.0,1.0,1.0,1.0,1.0,1.0,0.04583928472568233,0.5174632774145741,0.08063492063492063,0.02940493747408145,0.06666666666666667,0.1037037037037037,COMPLETE
7,0.07230791161796152,2022-10-09 14:08:55.151109,2022-10-09 14:09:27.848206,0 days 00:00:32.697097,smoteenc,no,BorutaShap,13,2,7,,retained,3,Standard,uniform,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='BorutaShap',
                                             model=KNeighborsClassifier(leaf_size=13,
                                                                        n_jobs=2,
                                                                        n_neighbors=7,
                                                                        p=3),
                                             scaling_indicator='yes'))])",smoteenc,no,,no,BorutaShap,no,,retained,Standard,0.11787549824225609,0.8238547862768598,0.21021037100497372,0.2761101310827882,0.11787549824225609,1.0,0.042700615061823245,0.4759039874414365,0.07230791161796152,-0.020515782315249417,0.039299874995117,0.4518518518518519,COMPLETE
8,0.08600142695887376,2022-10-09 14:09:28.090899,2022-10-09 14:09:38.987044,0 days 00:00:10.896145,smotetomek,,FeatureWiz,20,2,11,,retained,2,Robust,uniform,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureWiz',
                                             model=KNeighborsClassifier(leaf_size=20,
                                                                        n_jobs=2,
                                                                        n_neighbors=11),
                                             scaling_indicator='yes'))])",smotetomek,no,,no,FeatureWiz,no,,retained,Robust,0.08214675714675714,0.7387109542500907,0.15148436748436747,0.19799111485207121,0.08214675714675714,1.0,0.04538962617738302,0.5173433470326981,0.08600142695887376,0.011059307206040135,0.04588445952313636,0.6925925925925926,COMPLETE
